USAF,WBAN,STATION NAME,CTRY,STATE,LAT,LON,Geocoded_City,Geocoded_County
690190,13910,ABILENE DYESS AFB,US,TX,32.433,-99.85,Abilene,Taylor County
690190,99999,DYESS AFB/ABILENE,US,TX,32.417,-99.85,Abilene,Taylor County
690280,99999,PORT ISABEL (CGS),US,TX,26.067,-97.167,,Cameron County
690290,99999,PORT ARANSAS,US,TX,27.833,-97.067,Port Aransas,Nueces County
720110,53983,LLANO MUNICIPAL AIRPORT,US,TX,30.784,-98.662,Llano,Llano County
720110,99999,LLANO MUNI,US,TX,30.784,-98.662,Llano,Llano County
720151,3049,ALPINE-CASPARIS MUNI ARPT,US,TX,30.383,-103.683,Alpine,Brewster County
720151,99999,ALPINE CASPARIS MUNI,US,TX,30.384,-103.684,Alpine,Brewster County
720261,53976,BRIDGEPORT MUNICIPAL ARPT,US,TX,33.175,-97.828,Bridgeport,Wise County
720261,99999,BRIDGEPORT MUNI,US,TX,33.183,-97.833,,Wise County
720269,12982,BROOKS COUNTY AIRPORT,US,TX,27.207,-98.121,,Brooks County
720269,99999,BROOKS CO,US,TX,27.2,-98.117,,Brooks County
720271,3044,BIG SRNG MCMHN-WRKLE ARPT,US,TX,32.213,-101.521,Big Spring,Howard County
720271,99999,BIG SPRING MCMAHON,US,TX,32.217,-101.517,Big Spring,Howard County
720273,12981,BAY CITY MUNICIPAL AIRPORT,US,TX,28.973,-95.863,,Matagorda County
720273,99999,BAY CITY MUNI,US,TX,28.967,-95.867,,Matagorda County
720276,12983,EDINBURG INTL AIRPORT,US,TX,26.442,-98.129,Edinburg,Hidalgo County
720276,99999,EDINBURG INTL,US,TX,26.442,-98.122,Edinburg,Hidalgo County
720281,53969,WILBARGER CO,US,TX,34.226,-99.284,,Wilbarger County
720281,99999,WILBARGER CO,US,TX,34.226,-99.284,,Wilbarger County
720286,53977,GRANBURY MUNICIPAL ARPT,US,TX,32.444,-97.817,Granbury,Hood County
720286,99999,GRANBURY MUNI,US,TX,32.45,-97.817,Granbury,Hood County
720287,53967,GRAYSON COUNTY AIRPORT,US,TX,33.714,-96.674,,Grayson County
720287,99999,GRAYSON CO,US,TX,33.714,-96.674,,Grayson County
720291,53970,MESQUITE METROPOLITAN ARPT,US,TX,32.747,-96.531,Mesquite,Dallas County
720291,99999,MESQUITE METRO,US,TX,32.75,-96.533,Mesquite,Dallas County
720295,53972,HILLSBORO MUNICIPAL ARPT,US,TX,32.084,-97.097,,Hill County
720295,99999,HILLSBORO MUNI,US,TX,32.083,-97.1,,Hill County
720296,53945,JASPER COUNTY-BELL FLD APT,US,TX,30.886,-94.035,,Jasper County
720296,99999,JASPER CO BELL FLD,US,TX,30.886,-94.035,,Jasper County
720298,53971,CHEROKEE COUNTY AIRPORT,US,TX,31.869,-95.218,,Cherokee County
720298,99999,JACKSONVILLE,US,TX,31.867,-95.217,,Cherokee County
720299,53966,MID-WAY REGIONAL AIRPORT,US,TX,32.456,-96.913,Midlothian,Ellis County
720299,99999,MIDLOTHIAN/WAXAHATC,US,TX,32.45,-96.917,Waxahachie,Ellis County
720302,53963,CRKVIL-RED RIVER CO ARPT,US,TX,33.593,-95.064,,Red River County
720302,99999,CLARKSVILLE RED RIVE,US,TX,33.593,-96.064,,Fannin County
720303,53973,HEARNE MUNICIPAL AIRPORT,US,TX,30.872,-96.622,,Robertson County
720303,99999,HEARNE MUNI,US,TX,30.867,-96.617,,Robertson County
720305,53964,DECATUR MUNICIPAL AIRPORT,US,TX,33.254,-97.581,Decatur,Wise County
720305,99999,DECATUR MUNI,US,TX,33.25,-97.583,Decatur,Wise County
720311,53962,MOUNT PLEASANT RGNL ARPT,US,TX,33.096,-94.961,Mount Pleasant,Titus County
720311,99999,MT PLEASANT,US,TX,33.1,-94.967,Mount Pleasant,Titus County
720313,3052,PERRY LEFORS FIELD AIRPORT,US,TX,35.613,-100.996,,Gray County
720314,93983,PALESTINE MUNICIPAL ARPT,US,TX,31.78,-95.706,Palestine,Anderson County
720314,99999,PALESTINE MUNI,US,TX,31.783,-95.7,Palestine,Anderson County
720315,3045,PERRYTON OCHILTREE CO ARPT,US,TX,36.414,-100.75,Perryton,Ochiltree County
720315,99999,PERRYTON OCHILTREE,US,TX,36.417,-100.75,Perryton,Ochiltree County
720316,12984,NUECES COUNTY ARIPORT,US,TX,27.779,-97.691,Robstown,Nueces County
720316,99999,UECES CO,US,TX,27.783,-97.683,Robstown,Nueces County
720318,53965,GRAHAM MUNICIPAL AIRPORT,US,TX,33.11,-98.555,Graham,Young County
720318,99999,GRAHAM MUNI,US,TX,33.11,-98.555,Graham,Young County
720320,53981,CLEBURNE MUNICIPAL AIRPORT,US,TX,32.354,-97.434,Cleburne,Johnson County
720320,99999,CLEBURNE MUNI,US,TX,32.35,-97.433,Cleburne,Johnson County
720323,93947,GILLESPIE CO,US,TX,30.243,-98.91,Fredericksburg,Gillespie County
720323,99999,GILLESPIE CO,US,TX,30.243,-98.909,Fredericksburg,Gillespie County
720391,127,BEEVILLE MUNICIPAL AIRPORT,US,TX,28.35,-97.717,,Bee County
720391,99999,BEEVILLE MUNI,US,TX,28.35,-97.717,,Bee County
720393,129,HEREFORD MUNICIPAL AIRPORT,US,TX,34.85,-102.333,,Deaf Smith County
720393,99999,HEREFORD MUNI,US,TX,34.858,-102.326,,Deaf Smith County
720395,130,PLEASANTON MUNICIPAL AIRPORT,US,TX,28.95,-98.517,Pleasanton,Atascosa County
720395,99999,PLEASANTON MUNI,US,TX,28.954,-98.52,Pleasanton,Atascosa County
720396,99999,TP MCCAMPBELL,US,TX,27.913,-97.212,,San Patricio County
720403,99999,KICKAPOO DOWNTOWN AIRPARK,US,TX,33.858,-98.49,Wichita Falls,Wichita County
720404,134,KICKAPOO DOWNTOWN AIRPORT,US,TX,33.85,-98.483,Wichita Falls,Wichita County
720404,99999,KICKAPOO DOWNTOWN AIRPORT,US,TX,33.85,-98.483,Wichita Falls,Wichita County
720542,166,LAGO VISTA RUSTY ALLEN AIRPORT,US,TX,30.5,-97.967,,Travis County
720542,99999,LARGO VISTA / RUSTY ALLEN AIRPORT,US,TX,30.5,-97.967,,Travis County
720577,175,RUSK COUNTY AIRPORT,US,TX,32.15,-94.85,,Rusk County
720577,99999,HENDERSON/RUSK COUNTY AIRPORT,US,TX,32.15,-94.85,,Rusk County
720578,176,STEPHENS COUNTY AIRPORT,US,TX,32.717,-98.892,,Stephens County
720578,99999,STEPHENS CO,US,TX,32.719,-98.891,,Stephens County
720579,99999,LAJITAS INTL ARPT,US,TX,29.278,-103.687,,Brewster County
720584,181,ZAPATA COUNTY AIRPORT,US,TX,26.967,-99.25,,Zapata County
720584,99999,ZAPATA,US,TX,26.967,-99.25,,Zapata County
720594,188,HOUSTON DUNN HELISTOP,US,TX,29.717,-95.383,Houston,Harris County
720594,99999,HOUSTON/DUNN HELISTOP,US,TX,29.717,-95.383,Houston,Harris County
720617,208,HOUSTON EXECUTIVE AIRPORT,US,TX,29.8,-95.9,,Waller County
720622,99999,BOWIE MUNI,US,TX,33.602,-97.776,,Montague County
720626,213,PAMPA MESA VISTA AIRPORT,US,TX,35.883,-101.033,,Roberts County
720626,99999,PAMPA M VISTA,US,TX,35.883,-101.033,,Roberts County
720637,223,HOUSTON SOUTHWEST AIRPORT,US,TX,29.5,-95.477,Arcola,Fort Bend County
720639,225,HORSESHOE BAY RESORT AIRPORT,US,TX,30.533,-98.367,Horseshoe Bay,Llano County
720647,229,LAMPASAS AIRPORT,US,TX,31.106,-98.196,Lampasas,Lampasas County
720648,230,AUSTIN EXECUTIVE AIRPORT,US,TX,30.395,-97.567,,Travis County
720659,239,OZONA MUNICIPAL AIRPORT,US,TX,30.735,-101.203,,Crockett County
720668,246,EAST BREAKS OIL PLATFORM,US,TX,27.817,-94.317,,
720668,99999,OIL PLATFORM/EAST BREAKS,US,TX,27.817,-94.317,,
720669,247,GUNNISON OIL PLATFORM,US,TX,27.3,-93.533,,
720669,99999,OIL PLATFORM/GUNNISON,US,TX,27.3,-93.533,,
720725,434,BRAZOS 133B,US,TX,28.058,-95.872,,
720725,99999,BRAZOS 133,US,TX,27.835,-96.011,,
720726,259,GALVESTON 424 OIL PLATFORM,US,TX,28.577,-94.977,,
